Date,Code,Name,Marcap,Rank,Volume,Amount
2019-01-02,005930,삼성전자,231329073812500.0,1.0,7847664.0,304682623050.0
2019-01-02,000660,SK하이닉스,44116943319000.0,2.0,1934295.0,117458798300.0
2019-01-02,068270,셀트리온,26910340528500.0,3.0,1045357.0,228573134000.0
2019-01-02,005935,삼성전자우,26003219720000.0,4.0,944879.0,30203996650.0
2019-01-02,207940,삼성바이오로직스,24745710000000.0,5.0,148344.0,56542769500.0
2019-01-02,005380,현대차,24358173318000.0,6.0,565493.0,65112405500.0
2019-01-02,051910,LG화학,23789619591000.0,7.0,227694.0,77836925500.0
2019-01-02,017670,SK텔레콤,22003206247500.0,8.0,129645.0,35162518500.0
2019-01-02,015760,한국전력,21858876821850.0,9.0,1503315.0,51171936050.0
2019-01-02,005490,POSCO,20663279895000.0,10.0,175260.0,41867615000.0
2019-01-02,028260,삼성물산,19727764472000.0,11.0,246954.0,25804168000.0
2019-01-02,035420,NAVER,19447980610000.0,12.0,356120.0,42251384000.0
2019-01-02,105560,KB금융,19212225125150.0,13.0,636199.0,29363812400.0
2019-01-02,055550,신한지주,18683463727800.0,14.0,868545.0,34413670230.0
2019-01-02,012330,현대모비스,18008614655000.0,15.0,215479.0,40204711500.0
2019-01-02,034730,SK,17730794844000.0,16.0,74745.0,18976756500.0
2019-01-02,051900,LG생활건강,16883270957000.0,17.0,26387.0,29012401000.0
2019-01-02,032830,삼성생명,16060000000000.0,18.0,221030.0,17791665100.0
2019-01-02,018260,삼성에스디에스,15939826800000.0,19.0,99070.0,20629277500.0
2019-01-02,096770,SK이노베이션,15626680316000.0,20.0,475975.0,81030612500.0
2019-01-02,006400,삼성SDI,14474933565000.0,21.0,345548.0,73769630500.0
2019-01-02,033780,KT&G,13399747707200.0,22.0,450182.0,44134816300.0
2019-01-02,000270,기아차,13295917781600.0,23.0,478590.0,15698385400.0
2019-01-02,000810,삼성화재,12530644386500.0,24.0,49598.0,13119792500.0
2019-01-02,003550,LG,11751140621100.0,25.0,135878.0,9348778200.0
2019-01-02,090430,아모레퍼시픽,11311717815000.0,26.0,404377.0,80061362500.0
2019-01-02,086790,하나금융지주,10853750541300.0,27.0,567892.0,20614432100.0
2019-01-02,000030,우리은행,10410400000000.0,28.0,2040631.0,31611412500.0
2019-01-02,010950,S-Oil,10278808909600.0,29.0,665046.0,61610622000.0
2019-01-02,066570,LG전자,10277082719200.0,30.0,568844.0,36028740900.0
2019-01-02,036570,엔씨소프트,10245523274000.0,31.0,83710.0,39010828500.0
2019-01-02,091990,셀트리온헬스케어,10188174802500.0,32.0,876842.0,65385935700.0
2019-01-02,011170,롯데케미칼,9425740225000.0,33.0,111841.0,31134921000.0
2019-01-02,251270,넷마블,9038181690000.0,34.0,271562.0,29250424000.0
2019-01-02,009540,현대중공업,8882026058000.0,35.0,143838.0,18273395000.0
2019-01-02,035720,카카오,8505552846000.0,36.0,173462.0,17849866000.0
2019-01-02,010130,고려아연,8000880000000.0,37.0,33226.0,14110042000.0
2019-01-02,030200,KT,7937798963200.0,38.0,696916.0,21028275500.0
2019-01-02,032640,LG유플러스,7837173929950.0,39.0,1244108.0,22299465550.0
2019-01-02,024110,기업은행,7587712943250.0,40.0,1546090.0,21101011450.0
